,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
131,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,599.4318,344.99
132,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,550.841,345.95
133,0,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,4,651.5868,348.8
134,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,558.5041,356.29
135,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,622.8127,356.28
136,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,714.5227,344.44
137,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,3,541.5668,353.94
138,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,620.8228,346.06
139,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,721.1277,346.83
140,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,595.8203,349.37
141,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,558.1551,356.26
142,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,526.8474,351.89
143,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,4,544.4373,344.38
144,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,556.374,350.99
145,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,664.7455,347.43
146,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,778.8128,342.76
147,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,526.7735,344.99
148,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,733.782,350.32
149,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,576.8431,347.88
150,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,713.8371,342.08
151,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,533.6324,348.53
152,3,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,4,433.5201,377.66
153,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,623.7961,364.64
154,3,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,4,402.5358,375.79
155,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,517.132,366.04
156,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,696.1533,345.75
157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,548.7935,342.53
158,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,219.1539,373.45
159,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,406.9158,356.13
160,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,3,673.3584,346.22
161,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,588.9975,350.15
162,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,2,577.5606,351.43
163,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,656.863,341.41
164,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,519.5612,354.8
165,0,0,2,0,2,0,0,4,0,0,3,0,0,0,0,0,4,559.161,356.47
166,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,4,500.2238,351.06
167,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,726.2894,349.0
168,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,2,490.0979,349.65
169,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,4,587.1298,359.6
170,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,589.0005,356.05
171,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,773.7501,345.35
172,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,590.4179,346.44
173,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,552.5401,355.36
174,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,670.3515,351.64
175,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,568.4985,346.09
176,0,0,3,4,1,3,0,0,0,0,0,0,0,0,0,0,4,382.5081,361.66
177,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,622.9878,354.69
178,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,622.4132,348.4
179,0,0,0,0,1,0,0,4,3,0,0,0,1,0,0,0,4,472.3354,359.89
180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,692.5776,339.81
181,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,523.8055,350.92
182,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,643.3173,341.67
183,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,567.0751,346.6
184,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,603.6019,344.21
185,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,4,392.577,354.99
186,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,559.7055,345.3
187,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,646.6411,344.3
188,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,487.8353,351.56
189,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599.4661,355.42
190,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,693.6549,348.5
191,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,720.6253,345.73
192,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,743.3433,342.18
193,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,591.2272,349.58
194,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,705.9116,342.59
195,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,3,449.8541,351.42
196,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,603.4095,359.0
197,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,613.8408,352.32
198,0,0,0,4,0,0,0,2,0,0,2,0,1,0,0,0,4,538.343,351.63
199,4,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,4,582.645,362.74
200,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,3,583.3028,354.34
201,0,3,0,0,3,0,0,2,4,0,0,0,0,0,0,0,4,556.0587,366.72
202,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,573.8253,349.35
203,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,669.1057,344.59
204,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,510.2321,348.93
205,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,598.2863,349.82
206,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,4,430.223,349.85
207,0,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,4,429.9146,364.62
208,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,722.3604,346.09
209,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,587.08,345.3
210,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,693.8378,351.16
211,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,634.8486,346.6
212,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,495.4048,351.5
213,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,568.9121,351.35
214,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,544.6525,354.26
215,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,314.7397,367.79
216,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,614.6289,347.72
217,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,2,4,599.2599,354.0
218,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,610.2683,345.1
219,0,0,4,0,0,0,0,3,0,0,0,0,0,0,2,0,3,744.7866,350.71
220,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,520.6407,353.34
221,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,647.2256,344.33
222,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,718.5653,348.57
223,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,602.0896,346.6
224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,678.2215,340.08
225,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,509.1681,351.82
226,0,0,4,0,1,4,0,0,0,0,0,0,2,0,0,0,4,624.1435,349.15
227,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,721.4312,347.49
228,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,732.4662,348.89
229,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,568.2605,354.88
230,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,740.6712,344.28
231,0,0,0,4,0,2,0,0,1,0,0,3,0,0,0,0,4,424.0839,355.53
232,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,536.491,353.57
233,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,443.7241,351.75
234,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,640.1596,344.0
235,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,673.2773,341.71
236,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,634.9959,348.3
237,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,559.5166,350.83
238,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,661.1572,345.72
239,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,599.3884,353.84
240,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,701.2526,343.89
241,0,0,3,0,0,4,0,0,2,0,0,1,0,0,0,0,4,607.1056,352.15
