,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd
127,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,-569.0108,350.97
128,2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,6,-492.4054,363.97
129,4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,6,-126.387,381.81
130,0,0,1,0,0,0,0,0,4,0,0,0,1,4,1,0,5,-281.7178,348.98
131,1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,6,-191.6692,362.06
132,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-254.9441,349.04
133,0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,6,-176.5618,362.35
134,0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,4,-448.2492,356.48
135,0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,4,-300.5491,348.91
136,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,-497.931,348.98
137,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,-237.9069,355.81
138,0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,6,-339.7708,364.81
139,4,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,5,-207.4321,363.34
140,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,4,-427.8829,355.27
141,0,0,0,3,2,0,4,2,0,0,0,0,0,3,0,3,6,-461.9294,371.79
142,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-494.923,343.67
143,0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,6,-209.9395,360.37
144,4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,6,-87.797,379.27
145,0,1,0,3,0,0,0,2,3,0,2,1,0,0,0,0,6,-235.0506,361.32
146,0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,4,-609.9773,351.94
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-411.4423,340.06
148,0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,6,-359.7705,368.88
149,0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,6,-147.154,366.06
150,0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,6,-132.6887,371.94
151,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,-289.5723,352.07
152,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,-213.5283,363.26
153,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,3,-216.8552,367.07
154,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,4,-198.3747,360.01
155,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,3,-683.2795,351.63
156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,-274.303,352.46
157,4,0,0,0,1,0,0,3,4,2,0,0,0,0,0,2,6,-131.638,384.55
158,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,-212.4417,345.85
159,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,3,-356.116,349.75
160,3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,6,-234.4337,369.51
161,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,3,-596.5801,346.58
162,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,-316.3476,366.92
163,0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,5,-269.754,357.34
164,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,3,-139.6043,367.54
165,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,-368.3728,349.92
166,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,5,-451.7216,357.84
167,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,-279.8116,351.27
168,0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,6,-313.3745,368.88
169,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,4,-401.196,363.73
170,1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,6,-140.131,366.41
171,0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,-221.0928,355.02
172,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,-285.1548,349.44
173,3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,5,-403.6201,368.38
174,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,-234.1007,353.63
175,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,-550.0837,345.48
176,1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,6,-176.5763,372.15
177,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,4,-159.9938,369.64
178,0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,6,-171.9735,362.59
179,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,3,-329.4496,354.38
180,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,-292.4131,352.05
181,1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,6,-148.8203,361.12
182,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,-261.4957,358.24
183,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,5,-359.1124,363.32
184,0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,-239.431,354.24
185,0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,5,-301.8564,350.4
186,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,3,-784.4314,347.22
187,0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,5,-201.0143,370.02
188,0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,5,-542.2134,357.8
189,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,3,-303.44,354.08
190,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,-280.5739,345.47
191,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,-373.0084,349.25
192,0,0,0,2,0,0,0,0,0,0,2,2,3,0,1,1,6,-132.7119,367.36
193,3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,6,-188.494,379.99
194,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,-258.3545,343.48
195,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,3,-478.3936,354.88
196,0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,6,-266.5394,358.79
197,1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,4,-127.6319,358.93
198,0,3,4,0,0,0,3,1,0,4,0,0,0,4,0,0,6,-271.4823,367.1
199,2,0,2,0,0,0,2,0,0,3,4,0,3,0,0,0,6,-156.1376,370.94
200,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,3,-427.7689,355.18
201,0,0,0,0,4,0,4,0,3,0,2,0,1,0,0,0,5,-286.0163,363.95
202,4,0,0,0,0,1,0,0,1,0,4,3,0,0,0,0,5,-146.7666,363.5
203,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,-397.803,350.77
204,4,2,0,4,2,0,3,1,0,0,0,0,0,0,0,0,6,-191.6689,394.27
205,0,0,2,0,0,2,4,0,0,1,0,0,0,0,0,0,4,-295.3248,355.15
206,4,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,6,-240.1114,372.09
207,0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,1,5,-226.7538,354.97
208,0,2,0,2,0,2,1,0,0,1,0,1,0,0,0,0,6,-289.4836,353.14
209,0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,4,-320.8289,354.07
210,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,3,-338.2892,359.68
211,0,0,1,0,3,4,0,0,0,0,4,0,2,0,2,0,6,-306.2541,360.26
212,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,-339.1676,359.59
213,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,-410.0836,345.01
214,0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,3,6,-324.123,358.35
215,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-463.4442,370.88
216,2,0,0,3,0,0,3,0,3,0,2,0,0,0,0,0,5,-381.38,369.46
217,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,-187.768,345.94
218,3,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,-487.7581,366.98
219,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,3,-267.3232,352.44
220,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-522.1249,340.73
221,0,2,0,0,0,1,0,0,0,0,1,3,2,4,0,0,6,-173.016,363.04
222,0,4,1,4,1,0,0,0,3,0,0,0,0,4,0,0,6,-257.8175,360.47
223,0,0,0,0,0,2,0,0,4,0,4,0,3,0,1,0,5,-255.3007,361.04
224,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,3,-280.5856,357.21
225,0,0,1,0,0,0,1,0,2,3,0,0,2,0,0,0,5,-389.3331,352.27
226,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,-386.1427,364.74
227,0,2,0,0,0,3,0,0,3,0,0,0,1,4,0,0,5,-159.92,357.04
228,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,4,-321.3725,356.42
229,0,0,3,2,0,0,2,0,0,4,4,0,0,0,0,0,5,-167.0989,371.23
230,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-191.2179,352.74
231,0,0,0,1,2,0,0,0,4,0,0,0,3,0,0,3,5,-192.5811,367.04
232,0,0,2,0,0,0,0,1,2,3,0,3,0,3,0,0,6,-507.9376,361.52
233,2,4,0,0,1,0,0,2,0,0,0,0,1,0,0,1,6,-356.4698,362.4
234,0,0,0,0,0,0,0,1,1,3,3,4,4,0,0,0,6,-137.342,374.75
235,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,3,-467.1404,358.59
236,3,0,4,2,0,0,0,2,4,4,0,0,0,0,0,0,6,-182.4972,383.99
237,1,0,0,0,2,0,0,0,0,0,0,0,4,4,0,2,5,-189.9413,371.03
238,0,0,0,0,0,0,2,2,2,0,0,4,0,0,4,1,6,-161.9172,372.88
239,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,-157.0547,351.1
240,0,2,2,0,0,4,0,0,0,1,0,0,0,2,0,0,5,-304.1282,350.35
241,0,1,0,2,0,0,4,0,3,0,0,0,0,0,0,0,4,-320.6611,356.78
242,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,-325.5223,357.03
243,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,3,-242.6834,353.52
244,4,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,4,-156.0661,361.87
245,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,3,-252.9567,363.18
246,0,0,0,3,4,0,1,0,0,0,0,3,0,0,0,0,4,-241.2004,367.08
247,0,0,2,0,0,0,0,2,3,0,0,0,0,3,0,2,5,-415.761,366.35
248,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,-225.9172,357.95
249,1,1,0,0,0,0,0,1,0,0,2,0,4,0,4,0,6,-379.9601,359.09
250,0,0,0,0,0,0,0,2,0,2,1,3,0,4,3,0,6,-231.2791,367.91
251,0,3,0,0,0,0,0,2,1,0,0,2,2,0,0,0,5,-246.6079,363.21
252,0,0,0,0,0,1,4,2,0,4,2,0,0,1,0,0,6,-357.7413,371.26
253,0,0,0,0,0,0,4,0,0,0,1,0,4,4,0,0,4,-351.8498,356.44
254,3,4,0,3,0,1,0,0,0,4,0,0,0,0,4,0,6,-281.1586,372.18
255,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,-347.3911,356.73
256,3,0,0,0,4,4,0,0,4,0,0,4,0,0,4,0,6,-270.5941,379.45
257,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,4,4,-113.0472,370.23
258,4,0,0,3,0,0,0,0,0,3,0,2,2,1,0,0,6,-157.5665,370.81
259,0,4,0,0,0,0,3,0,1,0,0,0,0,2,0,0,4,-437.4195,355.81
260,4,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,-405.9407,375.13
261,1,0,3,0,0,1,0,0,0,0,4,0,3,0,1,0,6,-189.5189,351.9
262,0,0,4,0,3,0,0,0,4,4,0,0,0,4,0,3,6,-473.0903,373.73
263,4,0,0,0,3,0,2,2,0,0,0,0,0,1,3,0,6,-337.743,370.91
264,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5,-243.1169,367.94
265,0,2,0,1,0,0,3,0,0,0,1,3,4,0,0,0,6,-210.7173,364.47
266,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,-264.4738,354.36
267,2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,6,-349.7887,366.63
268,0,1,0,3,0,0,0,4,0,0,0,3,1,0,2,0,6,-308.1247,361.32
269,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,-443.927,348.57
